l,r,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
15000,30000,岗位职责:岗位职责： 1、负责公司核心业务线，b端系统的架构设计和研发2、对现有的业务系统的维护、升级改造和性能优化；3、与团队其他角色紧密配合工作，共同创造稳定易用的产品； 岗位要求:1、2年以上的web后端开发经验，语言不限(php/python/nodejs)2、熟练使用mysql，良好的数据库设计和丰富的优化经验3、熟悉nosql技术(redis，memcached等）4、有web安全意识，熟悉常见的web安全问题以及防御措施5、熟悉linux web开发平台及工具，熟悉nginx服务器的配置优化工作6、了解web前端开发技术和常见的前端优化技巧7、有较强的学习能力，有良好沟通能力以及团队协作精神，能够承担工作压力,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
10000,14000,岗位职责项目1为华为蓝军团队打造的创新性项目，主要做语音智能处理方面的页面开发工作，需要对页面进行前端开发工作项目2为华为项目管理系统开发工作，致力打造部门级的系统，来管理整个部门项目运作流程，需要对系统的页面进行前端开发工作任职要求1、 有网络开发背景2、 三年效果开发经验3 、统招本科、3年及以上工作经验4、有核心网前端开发经验优先5、熟悉主流java web框架，熟悉各种常用设计模式； 6、精通常用网络协议tcp/ip协议，http协议等；7、会css、html、ajaxe等前端语言；8、会java开发技能；9、有项目管理类系统开发经验优先。,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
15000,20000,"岗位职责：1、利用angular、ionic等框架开发手机、电脑等多平台上的web前端应用；？2、配合产品经理和ui设计师，高效优质完成产品界面和功能的实现；3、负责产品的持续迭代工作;4、配合测试，完善产品功能，保证产品的上线质量。岗位要求：1、本科及以上学历，计算机相关专业；2、两年以上pc\手机网站开发经验,熟悉页面架构和布局，熟悉w3c标准，对html5、css3以及响应式交互有一定的了解；3、熟练掌握angular1或angular4（硬性指标），近一年内有相关项目经验者优先；4、熟练使用sass、less等；5、熟练掌握gulp，webpack等打包工具，能根据项目需求修改相关的配置；6、熟悉ionic1，ionic3、react、vue等前端开发技能优先；7、对web开发有强烈的兴趣，良好的逻辑思维能力和团队合作能力，有快速分析和解决问题的能力；8、工作积极主动，责任心强，工作踏实严谨。加分项：1、有完整的web app开发经验；2、熟悉app上架流程以及相关配置；3、熟悉android签名配置；4、能独立搭建gulp、webpack开发脚手架。",0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0
15000,20000,"岗位职责：1.？？ ？根据对公司产品的需求分析、方案设计等，进行页面设计和编写；2.？？ ？掌握系统整体风格的基线，设计并编写出风格统一，专业美观的前端页面；3.？？ ？帮助研发团队规范页面xhtml标准。职位要求：1.？？ ？精通css3.0和xhtml，熟悉html5、javascript、ajax、jquery等技术；2.？？ ？精通htmldom对象的javascript编程，精通div+css布局结构和排版；3.？？ ？了解代码执行效率,编写代码具备高度兼容性；4.？？ ？对非web前端的语言（如php/jsp）等有所了解；5.？？ ？熟悉用户体验设计和交互设计；6.？？ ？有团队协作精神，较强的逻辑分析能力、沟通表达能力。",1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1
8000,15000,"岗位职责：？1、 根据公司产品发展方向，负责/参与新产品的开发；？2、根据产品设计，利用html5相关技术开发手机、平板电脑等多平台上的前端应用；？3、编写可复用的用户界面组件；？4、配合服务器端开发人员进行应用及系统整合负责相关技术文档编写。？5、领导交办的其他工作。？职位要求：？1、计算机或相关专业大专以上学历，2年以上工作经验。？2、有开发过移动端web项目的优先考虑。？3、精通javascript，html5，css3等开发语言，熟悉div+css页面架构与布局。？4、熟悉各种浏览器的特性，能快速处理浏览器的兼容问题。？5、熟悉dom、ajax、json等常用技术，精通至少一种js框架 (jquery,bootstrap,angular,ionic)。？6、深刻理解web标准，对可用性、可访问性等相关知识有实际的了解和实践经验。？7、了解less或sass等预处理器，gulp、grunt、web pack等构建工具。？8、了解最新前端技术的设计和实现原理，并能灵活应用在工作中; 有良好的团队合作与沟通能力，主动性强，执行能力高。",1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
15000,25000,工作职责：？1，负责公司前端的架构、设计、核心模块开发工作。？2，参与制定前端框架标准化的工作，为分公司前端团队制定前端编码规范与标准；？3，负责前端架构优化及疑难问题攻关，及web前沿技术研究和新技术调研。？任职资格：？1. 3年以上javascript开发和工作经验，掌握javascript面向对象编程方法；？2. 精通html5、css3等开发技术经验，掌握前端常用组件及控件，掌握各浏览器及移动终端的适配技术；？3. 精通http等网络通讯协议原理和机制，熟练使用vue、webpack等前端框架技术体系，掌握websocket技术； ？ 4，具备良好的面向对象开发思想以及组件化开发能力；,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10000,20000,岗位职责:1.？ 负责公司web产品前段页面的设计与实现。2.？ 负责建造web公共组件库及引进新的web前端框架。3.？ 参与产品体验设计，并将ui设计及交互体验设计要求融入到web应用中。4.？ 参与框架选型及其他一些技术决策工作。任职要求：1.？ 3年以上前端开发经验，熟悉html5、css3、jquery、bootstrap等主流开发技术。2.？ 熟悉主流javascript框架（react、vue、angularjs等）至少精通其一，熟悉react优先。3.？ 熟悉grunt、gulp、webpack等构建工具。4.？ 熟悉node.js，有node经验优先。5.？ 思维开拓，良好的问题解决能力，抗压能力。6.？ 对技术的狂热追求，自信与专注。7.？ 有大型项目的前端架构设计经验，精通http协议，能根据项目需要合理设计缓存策略，并能熟练掌握主流的性能优化方法。8.？ 熟悉后台java开发者优先。？,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
10000,11800,岗位职责？ ？ 该项目主要做项目管理系统的开发，致力打造部门级的系统，来管理整个部门项目运作流程，需要对系统的页面进行系统设计、后端开发、前端开发、页面设计等工作，该岗位主要负责系统的web前端开发工作任职要求1、本科以上学历，计算机相关专业，5年以上java web开发经验2、精通java语言，精通html、css、js等常用web技术；3、对spring cloud及微服务有深入理解，有实际经验者优先4、熟练掌握oracle或mysql数据库；5、熟悉主流java开发框架struts、spring、hibernate、ibatis等；4、理解mvc、restful、soa、微服务、esb等主流架构思想；5、良好的沟通协调能力，团队合作精神和执行力，思路开阔，积极上进,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
7000,11000,岗位说明：1. 负责公司web网站系统的开发维护；2. 与app开发工程师配合进行后台管理系统的开发维护；3. 负责公司云平台的web系统软件开发维护；4. 负责研发部门安排的其他相关开发工作；5. 按照研发部门相关规范的要求编写和更新相关文档；6. 根据项目工作要求参加相关技术预研、评审等相关工作。任职要求：1. 计算机相关专业，本科以上学历，2年以上php开发经验2. 有扎实的编程功底，热爱编程；3. 精通lamp开发环境，熟悉常用web架构与开发模式；4. 熟悉mysql数据库、redis数据库；5. 熟悉linux系统操作与管理能力，能在linux下做开发工作；6. 熟悉web前端技能，html/javascript/css；7. 有独立完成工作的能力，有良好的团队精神，对软件开发有浓厚兴趣。,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
10000,20000,职责描述？1） 负责公司云平台系统的前端开发任务；2） 配合云平台服务端完成相关业务的通信及数据交互；3） 通过持续优化提升前端性能及客户体验；4） 对前端代码质量、交付结果负责；岗位要求1）3年以上h5/css/js开发经验，有独立承担前端开发任务的能力，熟练使用浏览器调试工具，代码能够兼顾浏览器标准及兼容性；2）对服务端通信及数据交互有一定的理解和实践经验，熟悉rest和ajax的调用方式；3）熟练使用vue.js、react、angularjs等任意一种js前端框架，在图形、报表等可视化、高性能web开发有经验者优先；4）具备良好的责任心、较强的学习能力、优秀的团队沟通与协作能力，愿意接受挑战；5）熟悉开源、有前端架构设计及分析经验者优先，具备前端ue设计和美工能力者优先考虑；,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12000,16000,职位描述：负责公司web应用服务器及运营平台开发；招聘要求1、3年以上php开发经验；2、熟悉面向对象的设计方法；3、熟悉基于lamp/lnmp的web开发；4、熟悉mysql数据库设计，熟悉linux系统，精通web服务器优化；5、有并发系统开发经验者优先！6、具备良好的团队协同工作精神，有较强的快速理解，独立分析解决问题的能力。福利：办公环境舒适，五险一金，节假日礼品奖金，带薪年假，年终奖金，年度旅游，年度体检，不定时举行小活动出行。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
10000,15000,1.熟练掌握javascript（es6）、html、css3/less语言2.熟悉react技术体系，熟练掌握基于react技术体系的web和中后台开发技术3.熟悉至少一种react组件库，如ant design4.熟悉掌握node、npm、webpack、eslint等前端工程化工具5、具有基于react的组件库或工具库开发经验者优先,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500,6000,岗位要求：1. 良好的职业素养，对测试工作具有极强的热诚，热爱游戏；2. 全日制统招专科以上学历，计算机及相关专业；3. 正直诚实、工作认真细致、有耐心、有责任感，能够承担较大的工作压力；4. 思维清晰敏捷，逻辑能力强，良好的口头和书面表达能力；5. 对软件研发流程有深刻的理解；并具有实际的操作能力；6. 具有体系化的软件测试规范思路；福利待遇：1、5天8小时工作制、双休，带薪年假，其他节假日按照国家法律规定；2、公司交纳五险一金，除了正常工资，还有提成+年底分红；3、公司组织聚餐、旅游、员工生日party、中西节日庆祝会、员工入职欢迎会等等；4、公司属于发展中阶段，个人晋升空间大；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,15000,岗位职责：？ 1、根据ui设计图将页面用代码实现；？ 2、跟后端工程师协作完成页面的渲染和展示；？ 3、分析前端性能，发现问题并进行调优。任职要求：？ 1、本科以上学历，1年以上前端开发经验，工作踏实认真；？ 2、熟悉html5特性，了解html5最新规范，能够熟练运用html5特性构建pc端和移动端页面；？ 3、熟悉web前端的性能优化技巧，了解浏览器兼容以及自适应布局；？ 4、熟悉bootstrap、weui、angularjs、sencha touch、zeptojs、backbone、prototype等html5框架中的至少一种；？ 5、熟悉了解小程序，做过类似相关的开发。,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
15000,20000,"岗位职责：工作内容1、负责前端页面的开发；2、根据ui设计师提供的设计图，实现web界面，优化代码并保持在各浏览器下的兼容性；？3、根据后台开发人员提供的接口，实现产品界面和功能。任职要求？1、3年以上相关工作经验；2、熟悉html、css，javascript、ajax、dom等前端技术，熟悉页面架构和布局；3、良好的js基础，对javascript 原型 闭包 事件 dom 有深入了解 ；4、熟练应用ajax/jquery等前端开发技术解决实际中问题，熟悉vue,对angular有了解；5、深刻理解web标准，对可用性、可访问性等相关知识有实际的了解和实践经验；6、对用户体验、交互操作流程及用户需求有深入理解；7、对css/javascript性能优化、解决多浏览器尤其是ie8兼容性问题有丰富经验者优先；8、良好的沟通能力以及团队协作能力，富有责任感，学习能力强，能承受一定的工作压力。简历发送—人事电话沟通—推荐用人部门—1~3轮用人部门面试（skype初试+复试）—发offer来菲安排：公司专人协助办理护照、签证—协助定机票—专车专人机场接机—安排住宿—入职。？海外工作的优势：1、提高英文水平：针对想出国工作，但英文不过关的候选人这是一个绝佳机会，除工作圈外，平常的生活，业余活动等，都需英文沟通，无形中就造了一个英文交流学习的语言环境。2、增加海外工作履历：拥有海外工作经验，后期回国针对国内就业公司背景的选择范围将会扩大。3、收入增长：每个招聘岗位薪资都至少高于国内50%以上的薪资标准（一般按照税后实际到手计算）。福利其它1、入职费用报销：公司协助候选人办理护照、签证以及入职机票预订，入职后相关费用凭有效发票都给予报销。2、公司安排住宿：公司提供给员工安排酒店公寓套房？宿舍（除公司客服服务部门外）其中家电包括：洗衣机，热水器、电冰箱等；卧室和客厅均有独立空调，公寓有游泳池与健身馆；宿舍楼处于当地市中心的繁华区，生活设施齐全、安全，周边有大型购物超市，购物方便，到公司办公大楼走路只需10-15分钟左右的走路路程。3、生活补贴：周边有很多中餐馆，除了固定底薪和免费包吃住之外.若是员工不住公司宿舍，按照职位级别补贴不等的住房补贴。4、假期：菲律宾海外工作公司一般全年有20-30个工作日的带薪休假，会将中国法定节假日集中到一起放长期假，所以一年有两次回国探亲假。并且公司全年报销往返4000左右机票费用。5、员工年薪发放为13-15个月（视岗位和公司盈利定）的月薪，若项目需要加班，审批后，则按照中国国家加班法规定，一般有加班费。",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
10000,15000,岗位职责：1.负责前端界面的构建，各类交互设计与实现；2.前端样式和脚本的模块设计及优化；3.配合后台开发人员完成项目开发及联调工作；4.配合产品经理和ui设计师 ，研究并改善用户体验；任职要求：1.3年及以上前端页面与脚本开发经验，本科及以上学历，计算机或相关专业；2.至少熟练掌握一种前端框架jquery/vue.js/react.js等框架开发经验，并有一定的组件开发与独立完成项目者；3.对javascript熟练掌握，能够使用源生javascript完成项目开发；4.深入理解ajax、http协议，能够快速解决问题者优先；5.能够熟练使用异步编程、函数编程，对事件机制与函数回调有深入理解；6.对移动端页面开发有深入理解，有项目案例者优先；7.对用户体验、交互操作流程、及用户需求有深入理解；8.有强烈的上进心和求知欲，善于学习和运用新知识，善于沟通和逻辑表达，有强烈的团队意识和执行力；,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0
10000,15000,岗位职责1、负责管理平台、移动端html5页面、微信小程序开发；2、负责前端框架选型，与ul人员一起设计高质量的前端页面；3、负责与后端开发人员一起完成与页面交互的嵌入、调整工作；4、设计出一整套的前端 ul交互体系。任职要求：1、本科以上学历，3年以上前端ul设计、开发经验，有独立的设计、开发能力；2、能熟练编写具有良好风格规范的html+css代码，熟悉跨浏览器兼容、css优先级和响应式布局、javascript执行机制等技术原理；3、熟练使用至少一种js框架，包括但不限于reactjs、angular、vue等，掌握其原理，能独立开发常用组织；4、对ul设计理念有一整套的理论体系，并且有成功案例；5、熟悉微信小程序开发流程，学习能力强，喜欢尝试新知识；6、有html5、css3与android、los系统混合开发经验者优先。,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
