"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",6,2,3,13,88,34,8,1,69,6,1,3,21,4,1,4,2,5,1,1,4,9,5,1,4,18,4,707,1,51,1,3,11,5,3,590,3,1,5,4,6,2,2,2,189,4,9,3,22,1,1,3,32,3,2,3,4,2,206,2,2,43,2,4,3,3,5,1,724,4,1,2,2,26,4,30,4,4,81,7,2,3,2,4,2,2,1,3,72,3,1,5,5,1,1,2,4,2,467,544,5,4,222,2,46,18,2,1,2,4,1,1,91,2,95,2,2,46,182,2,1,3,137,3,3,160,3,1,1,6,1,3,1,3,237,1,20,2,2,2,15,18,2,19,495,141,2,4,2,1,1,2,3,1,112,2,3,23,3,8,4,3,331,12,4,2,5,4,6,179,6,825,3,749,12,1,2,7,8,5,2,2,1,55,1,4,81,2,1,3,4,11,1,1,253,2,15,1,3,3
"2",1,34,1,1,823,2,2,3,3,1,2,61,2,1,2,3,3,1,2,5,3,596,2,129,1,1,238,32,2,2,6,2,14,3,9,13,2,2,2,63,3,1,1,1,1,1,292,6,3,859,6,2,78,1,4,78,2,28,82,21,3,1,3,2,1,2,1,3,4,3,4,3,1,3,1,2,6,103,1,4,1,2,3,1,1,1,5,4,2,5,50,2,1,3,2,1,1,3,3,2,4,1,1,1,6,22,3,2,3,3,3,16,7,1,159,1,1,16,3,1,148,1,3,2,1,1,1,8,13,4,5,1,352,2,3,4,1,3,1,3,2,1,3,3,12,3,3,2,1,2,2,6,4,60,3,58,2,1,1,2,1,2,1,4,1,3,9,2,11,4,4,7,10,1,1,4,37,1,134,17,347,17,18,11,2,3,8,1,2,1,3,2,4,3,1,29,3,3,2,2
"3",3,1,2,19,4,3,1,8,4,3,8,26,1,8,897,2,1,2,3,61,5,17,1,5,3,3,3,1,29,1,2,6,49,1,4,19,1,3,1,2,4,3,3,3,250,3,1,1,11,2,268,1,1,8,3,5,3,402,2,49,1,3,323,3,2,84,3,4,1,5,3,303,21,43,3,1,3,2,2,2,5,5,1,2,4,3,2,2,3,86,3,4,2,2,4,4,3,1,2,3,2,3,3,30,8,2,4,260,1,2,2,3,102,6,3,6,11,132,6,4,2,2,1,9,2,8,62,3,2,593,2,2,722,1,9,2,6,1,5,234,16,2,1,64,104,2,63,1,4,6,3,20,122,5,5,3,4,710,2,12,21,1,856,1,85,4,1,3,1,1,3,3,85,4,3,5,8,5,1,1,3,893,43,2,3,2,202,5,3,2,1,5,2,84,5,6,2,661,1,88
"4",5,5,5,2,2,55,6,49,2,2,3,2,10,3,15,9,5,3,4,2,2,42,6,6,7,465,2,2,5,22,487,287,1,2,1,1,13,6,3,3,2,68,8,4,2,105,2,2,1,32,2,4,3,4,1,1,1,1,1,3,5,9,1,1,88,1,2,2,2,1,297,1,3,2,2,5,1,1,3,3,3,1,12,3,90,4,25,11,1,2,2,3,127,266,3,3,2,14,1,1,3,56,5,3,2,1,1,9,34,1,4,2,2,3,2,4,148,1,1,3,11,19,474,1,4,2,2,2,4,1,3,5,51,4,2,121,4,11,3,1,82,33,16,2,2,245,1,12,36,4,4,5,1,3,2,1,9,2,4,3,3,22,10,2,2,1,304,1,2,8,2,1,1,2,2,3,1,3,408,24,145,863,2,1,114,1,2,4,26,17,5,1,503,45,25,3,18,9,28,10
"5",2,3,80,354,1,1,4,2,1,4,4,1,16,2,85,1,4,4,8,3,1,6,891,2,2,2,1,31,149,113,819,1,2,4,2,2,148,23,4,1,1,156,289,6,9,2,3,151,2,3,3,19,2,2,8,2,235,123,3,1,211,15,4,9,4,15,38,5,3,2,2,4,10,1,6,40,2,3,5,1,4,6,5,7,3,14,3,1,15,1,56,1,3,4,52,6,9,4,7,49,1,2,2,4,1,3,839,75,4,11,17,4,1,4,1,3,38,2,2,39,3,9,2,71,5,3,212,59,3,2,4,7,22,17,1,3,2,7,4,4,1,163,5,1,1,1,12,53,3,192,7,1,2,2,1,196,1,469,5,1,2,4,11,3,3,6,2,5,3,3,1,2,30,12,7,2,3,2,2,2,1,1,3,4,92,5,1,3,573,7,2,3,3,2,23,1,1,2,76,1
"6",5,2,3,8,41,30,7,1,127,6,1,4,28,4,1,4,1,5,1,1,4,9,9,1,5,13,7,490,2,29,1,3,11,5,3,459,4,1,5,4,5,2,2,4,61,4,8,3,32,1,1,3,20,3,2,3,4,2,140,2,2,120,2,10,3,6,7,1,570,4,1,2,2,46,3,11,5,4,31,18,2,4,3,4,3,2,1,2,72,3,1,4,9,1,1,2,3,2,515,393,5,7,205,2,79,42,2,1,2,18,1,1,160,2,187,2,7,64,225,2,1,3,271,3,2,256,3,1,1,5,2,3,1,2,225,1,39,2,2,1,42,24,2,60,676,56,2,4,2,1,1,4,3,1,117,2,3,56,3,7,4,3,452,30,27,3,7,5,6,97,7,741,3,811,88,1,2,11,7,9,2,2,1,27,1,4,166,2,1,4,5,16,1,1,301,3,4,2,4,3
"7",1,60,1,2,763,2,2,3,3,2,2,63,2,2,2,3,3,2,2,5,3,598,2,142,1,2,328,63,1,2,13,2,46,3,11,19,2,2,3,62,3,1,1,1,1,1,279,8,3,734,4,2,138,1,4,148,2,27,139,21,3,1,3,2,2,2,1,3,5,2,7,3,1,3,1,2,6,225,1,4,1,2,2,1,1,1,7,8,2,14,102,2,1,3,2,1,1,3,3,2,4,1,1,1,15,19,8,2,3,11,3,49,9,1,286,1,1,22,3,1,156,1,3,2,1,1,1,12,9,4,5,1,250,3,3,4,1,3,1,3,3,1,3,3,17,3,3,2,1,2,2,41,4,131,3,107,2,1,1,2,1,2,1,3,1,2,13,3,32,2,4,15,10,1,1,5,37,1,178,19,110,26,50,33,2,3,8,1,2,1,3,2,4,3,1,57,3,3,2,2
"8",4,1,2,61,7,4,1,15,4,3,19,67,1,6,705,2,2,1,3,58,5,49,1,5,3,3,3,1,39,1,2,9,58,1,5,11,1,4,1,2,4,3,3,7,165,3,1,1,15,2,144,1,1,7,3,9,5,289,2,52,1,4,84,4,1,130,3,4,1,5,4,283,21,77,4,1,3,3,2,2,5,11,1,2,4,3,2,5,3,49,3,5,2,2,5,7,4,1,2,4,2,3,4,11,12,2,7,191,1,8,2,3,140,9,3,9,17,330,12,8,2,2,1,17,3,7,44,4,2,674,1,2,719,1,16,2,5,1,5,216,22,2,1,94,125,2,67,1,3,11,3,39,86,5,5,3,9,539,2,11,12,1,611,1,35,4,1,2,1,1,3,5,111,4,3,4,14,6,1,1,4,832,45,2,3,2,321,3,3,2,1,6,2,54,44,61,2,486,1,123
"9",6,5,7,1,2,90,5,47,2,1,3,2,6,3,12,10,5,3,4,2,2,85,4,6,8,325,2,2,11,11,614,285,1,2,1,1,14,12,2,3,2,46,5,2,2,119,2,2,1,12,3,4,3,4,1,1,1,1,1,3,16,3,1,1,220,1,2,2,2,1,483,1,3,2,2,3,1,1,3,3,3,1,8,3,19,4,16,23,1,2,2,3,77,299,3,4,2,4,1,1,3,59,9,3,2,1,1,4,52,1,4,2,2,3,2,6,133,1,1,4,18,19,347,1,6,2,2,2,4,1,3,6,74,4,2,136,3,22,4,2,41,50,23,2,2,138,1,27,48,4,4,34,1,3,2,1,11,3,5,3,3,12,15,2,2,1,277,1,2,12,2,1,1,2,2,3,1,3,137,97,187,883,2,1,221,1,2,5,33,33,4,1,696,44,5,7,37,20,44,14
"10",2,3,89,273,1,1,8,2,1,4,4,1,13,1,146,1,4,4,14,4,1,15,817,2,2,1,1,45,171,78,848,1,3,4,2,2,88,16,4,1,1,137,101,5,20,2,3,301,2,3,2,16,2,2,20,2,225,34,6,1,297,52,5,3,4,40,40,5,3,3,2,4,19,1,6,20,2,2,6,1,4,5,6,7,2,26,3,1,65,1,52,1,3,5,24,6,5,6,42,51,1,2,2,5,1,3,830,102,4,16,29,4,1,4,1,3,30,2,2,34,3,16,2,63,4,3,98,60,3,2,4,9,29,37,1,3,2,8,3,6,1,318,5,1,1,1,20,93,4,230,5,1,2,2,1,150,1,491,7,1,2,5,27,5,3,13,2,4,3,3,1,2,52,19,11,2,3,2,2,2,1,1,3,3,78,8,1,4,542,17,2,3,3,2,68,1,1,1,140,1
