"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",5,2,3,176,685,22,4,2,4,41,3,3,4,3,2,4,2,3,1,1,5,1,3,1,3,84,292,782,2,11,1,3,9,3,3,110,4,1,5,5,4,3,2,4,4,4,3,2,117,1,1,3,126,3,2,3,46,2,17,2,3,3,3,135,3,13,4,1,133,3,3,2,2,9,5,30,4,3,147,2,2,5,1,3,2,1,1,6,292,3,1,4,4,1,2,3,4,2,531,102,4,4,87,1,18,5,2,1,2,4,1,1,10,2,52,2,5,35,44,12,1,3,13,3,2,413,3,1,1,4,2,3,1,3,712,4,10,2,2,2,4,180,3,147,299,737,3,3,2,1,2,17,4,1,25,2,1,114,3,42,3,5,129,5,5,3,5,8,4,597,48,657,3,452,4,1,1,5,3,14,2,2,1,48,1,2,104,2,1,2,3,30,1,1,14,6,9,2,3,52
"2",3,3,1,2,54,2,3,3,5,1,1,419,2,2,1,3,3,2,2,4,3,30,2,106,2,2,182,153,1,1,6,2,3,4,72,31,2,2,2,45,3,1,1,1,1,1,29,34,2,6,7,1,193,1,3,26,2,3,74,5,1,1,2,2,1,2,1,3,4,1,8,3,1,3,1,2,5,5,4,21,1,3,4,1,3,2,4,3,1,9,4,2,1,5,3,1,1,4,2,2,6,1,1,2,4,8,4,2,3,3,3,4,3,1,69,1,1,3,4,1,20,1,3,2,3,2,1,4,3,3,4,1,17,2,3,2,1,3,1,4,2,1,2,3,18,3,4,2,1,2,3,125,3,3,2,30,2,1,1,2,1,3,1,2,1,4,6,2,22,2,3,47,320,1,1,208,58,1,67,13,8,32,9,8,2,4,209,1,2,1,4,2,2,3,1,30,3,1,2,2
"3",2,1,2,3,3,69,9,10,3,3,13,35,1,5,258,2,1,1,3,3,4,4,1,53,5,3,2,1,71,2,2,6,7,1,7,17,1,3,1,3,5,2,3,2,140,2,1,1,6,2,9,2,1,5,22,5,37,71,2,97,2,2,924,3,4,4,3,6,1,5,2,231,3,18,3,1,2,2,2,3,9,4,2,2,1,3,2,2,6,13,3,3,2,2,15,5,3,1,3,7,1,2,3,6,7,2,3,3,1,2,2,3,527,4,3,3,49,9,3,3,2,2,1,16,1,4,47,3,2,142,1,2,49,1,59,1,70,1,3,10,41,2,1,23,294,2,30,1,3,4,1,2,7,8,4,3,3,5,2,5,16,1,937,1,2,2,1,3,1,1,4,3,63,15,2,4,72,4,1,1,6,968,37,5,11,1,4,14,4,4,2,9,3,9,2,2,2,27,1,3
"4",1,5,23,1,2,72,1,25,1,2,2,2,36,4,48,15,5,4,4,2,2,517,16,5,4,4,1,2,26,3,293,27,1,2,1,1,8,4,3,1,2,4,17,3,2,518,2,3,1,20,2,4,3,2,1,1,1,1,1,3,16,19,1,1,52,1,2,2,2,4,107,1,4,1,2,5,1,1,1,4,4,1,6,4,27,4,5,4,2,2,2,5,349,35,1,4,2,28,1,1,2,88,62,3,2,1,1,12,14,1,4,2,2,12,2,142,150,1,2,2,155,82,52,1,4,1,2,2,46,1,3,4,15,5,2,18,6,71,5,1,332,6,131,2,2,210,1,9,4,3,4,5,1,2,3,1,5,2,5,3,50,12,7,3,3,1,24,1,2,72,2,1,1,2,8,3,2,3,34,3,7,305,3,1,28,3,2,3,3,5,5,1,171,4,709,3,28,10,46,4
"5",4,4,197,283,1,1,2,1,2,4,183,1,3,1,250,1,33,5,6,6,1,2,601,2,1,1,3,292,55,180,363,1,2,5,2,2,373,5,4,2,1,575,24,28,10,3,4,21,3,3,91,9,2,4,5,2,8,6,3,1,132,4,6,4,2,265,42,4,3,2,1,97,33,2,4,197,3,4,3,1,3,2,3,174,4,61,3,1,21,1,102,1,3,22,23,2,88,3,4,3,3,3,2,4,1,3,118,34,4,8,6,9,1,3,1,4,4,2,1,407,3,4,2,76,8,3,563,85,4,2,5,16,422,4,1,3,2,346,6,3,1,396,32,1,1,1,2,107,6,18,5,1,2,4,1,91,9,225,8,1,2,2,2,4,49,5,2,6,3,10,1,2,2,18,29,2,24,2,2,2,1,1,2,2,5,5,1,7,651,3,1,3,4,2,230,1,1,3,8,1
"6",9,2,3,260,614,31,7,2,7,122,3,3,4,3,2,4,1,3,1,1,5,1,3,1,3,102,142,711,2,5,1,3,13,4,4,30,8,1,6,5,4,2,2,4,4,4,3,2,163,1,1,3,68,3,2,3,49,2,23,2,3,3,3,120,3,5,4,1,140,2,4,2,2,14,6,18,4,4,99,2,2,5,1,3,2,1,1,6,446,4,1,5,4,1,2,3,4,2,582,135,5,8,141,2,27,4,2,1,2,4,1,1,21,2,106,2,10,109,105,17,1,3,6,3,2,286,3,1,1,4,3,4,1,3,569,5,25,2,2,2,3,251,3,76,235,508,3,3,2,1,2,40,4,1,54,3,2,226,5,59,3,7,70,5,8,3,12,4,4,585,32,383,3,632,5,1,1,5,3,32,2,2,1,44,2,2,194,2,1,2,3,18,1,2,18,4,40,2,3,82
"7",3,3,1,2,31,2,3,3,9,1,1,535,2,2,1,3,3,2,2,9,4,31,2,111,2,2,197,202,1,1,6,2,2,3,94,34,2,2,2,47,3,1,1,1,1,1,38,44,2,9,6,1,360,1,4,63,2,3,140,30,1,1,2,2,2,2,1,3,4,1,15,3,1,3,1,2,6,5,6,11,1,3,5,1,3,2,4,3,1,5,6,3,1,4,3,1,1,4,2,2,7,1,1,1,4,12,4,2,3,3,3,4,3,1,158,1,1,3,5,1,39,1,3,2,3,2,1,4,3,3,4,1,39,2,3,2,1,3,1,4,2,1,2,3,14,3,4,2,1,2,4,182,3,3,2,25,1,1,1,2,1,2,1,2,1,5,9,2,20,2,3,30,164,1,1,124,99,1,22,12,8,44,12,12,1,4,178,1,2,1,4,2,2,3,1,36,3,1,2,2
"8",2,1,2,3,4,89,5,10,3,3,30,20,1,5,414,2,2,1,3,3,3,3,1,109,6,3,3,1,86,2,2,7,6,1,19,42,1,3,1,3,6,3,3,2,129,2,1,1,14,2,34,2,1,5,42,10,101,89,2,133,2,2,941,4,4,3,2,6,1,5,3,123,3,53,3,1,2,3,2,3,7,4,2,2,1,3,2,2,7,9,3,2,2,2,23,5,3,1,3,9,1,2,4,4,9,2,3,4,1,2,2,3,678,10,3,3,105,11,3,4,2,2,1,42,1,4,23,3,2,127,1,2,187,1,153,1,137,1,3,9,87,2,1,14,144,2,66,1,3,4,1,2,7,4,5,2,3,4,2,6,26,1,979,1,2,2,1,3,1,1,4,2,51,27,2,4,177,4,1,1,5,970,90,11,52,1,6,9,3,4,2,13,3,15,2,2,2,19,1,4
"9",1,5,65,1,2,53,1,46,1,2,2,2,49,4,45,23,6,4,15,2,1,654,107,9,4,4,1,2,43,3,337,48,1,2,1,1,6,4,3,1,2,4,19,3,2,470,2,3,1,40,4,4,3,2,1,1,1,1,1,4,33,32,1,1,83,1,3,2,2,4,120,1,7,1,2,4,1,1,1,4,4,1,14,4,35,4,7,7,2,2,2,6,389,89,1,4,2,9,1,1,2,43,90,3,2,1,1,15,54,1,6,2,2,24,2,213,184,1,2,2,113,144,31,1,4,1,2,2,67,1,2,3,49,13,2,15,8,80,4,1,436,13,217,2,2,184,1,18,4,3,3,4,1,2,3,1,10,2,8,3,44,27,8,4,3,1,82,1,2,55,2,1,1,2,10,3,2,3,44,2,7,315,3,1,102,3,2,3,9,11,5,1,142,4,674,3,41,17,119,3
"10",4,4,164,229,1,1,2,1,2,4,190,1,3,1,224,1,42,5,13,11,2,4,368,2,1,1,2,303,68,382,286,1,3,6,2,2,480,6,4,4,1,393,11,55,8,3,6,40,3,3,57,10,2,4,5,2,13,4,5,1,247,6,8,3,1,110,16,4,3,3,1,38,75,2,4,253,3,2,4,1,3,2,3,243,4,61,3,1,15,1,11,1,3,22,30,2,109,3,13,3,3,3,2,9,1,3,71,19,8,9,7,19,1,3,1,4,15,2,1,560,3,4,2,111,12,3,494,74,4,2,5,6,365,5,1,3,2,458,7,3,1,229,59,1,1,1,2,85,5,48,6,1,2,5,1,90,7,217,19,1,2,3,3,3,12,4,2,8,3,13,1,3,2,56,32,2,29,2,2,3,1,1,2,2,10,5,1,12,771,3,1,3,4,1,26,1,1,3,12,1
