"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",5,2,3,230,543,23,6,2,4,13,3,3,4,3,2,2,2,3,1,1,5,1,3,1,3,45,93,672,2,7,1,3,6,4,4,124,7,1,5,2,4,3,2,4,6,4,3,2,65,1,1,3,161,3,2,3,103,2,15,2,3,3,3,224,3,5,4,1,82,2,7,2,2,7,5,20,3,3,413,1,2,5,3,3,2,2,1,37,172,3,1,4,4,1,2,2,4,2,857,180,5,5,29,1,15,5,2,1,2,4,1,1,11,2,28,2,3,12,24,5,1,3,24,3,1,93,3,1,1,4,2,4,1,3,830,3,16,2,2,2,4,72,3,82,383,650,2,3,2,1,2,16,4,1,14,2,1,31,7,52,3,5,179,6,3,4,11,6,4,450,41,523,2,660,6,1,1,5,2,12,2,2,1,143,2,4,221,2,1,4,3,39,1,1,13,4,10,2,3,154
"2",2,3,1,2,86,2,2,3,8,1,1,627,2,2,1,4,3,2,2,5,3,4,2,82,2,2,234,92,1,1,5,2,4,3,92,36,2,2,2,10,3,1,1,1,1,1,11,51,2,5,5,1,81,1,3,102,2,3,198,7,1,1,2,2,1,2,1,4,4,1,4,3,1,2,1,2,6,5,4,6,1,2,14,1,3,1,4,2,1,14,4,2,1,4,3,1,1,4,2,2,6,1,1,2,4,4,4,2,3,3,3,4,3,1,26,1,1,3,4,1,36,1,3,2,2,2,1,4,3,3,4,2,97,2,3,2,1,3,1,4,2,1,2,3,6,3,4,2,1,2,3,84,3,3,2,9,2,1,1,2,1,2,1,2,1,3,21,2,23,2,3,154,348,1,1,37,18,1,45,6,7,43,8,10,1,2,20,1,2,1,4,2,3,3,1,69,4,1,2,2
"3",1,1,2,3,3,43,8,13,3,3,8,6,1,5,246,3,1,1,3,3,4,3,1,24,5,3,2,1,133,2,2,4,9,1,5,59,1,3,1,4,5,2,5,2,247,2,1,1,21,2,7,2,1,5,157,5,14,22,2,43,2,2,819,4,4,3,2,9,1,5,2,140,3,19,3,1,2,2,2,3,9,4,1,2,1,4,2,3,3,22,3,3,3,2,4,5,2,1,3,8,1,3,3,5,14,2,3,5,1,2,2,2,771,5,3,4,8,28,3,3,2,2,1,9,3,4,21,3,2,67,1,1,64,1,144,1,52,1,3,45,37,2,1,9,485,2,8,1,3,3,1,2,13,8,4,3,3,3,2,4,70,1,938,1,2,2,1,3,1,1,4,3,30,29,3,4,47,4,1,1,9,990,80,6,4,1,19,47,13,3,1,18,2,10,2,3,2,53,1,4
"4",3,4,25,1,2,56,1,34,1,2,2,2,21,4,24,14,7,4,8,2,2,796,31,3,4,4,1,2,38,3,288,8,1,2,1,1,4,4,4,1,2,4,34,3,2,735,2,3,1,27,2,4,3,2,1,1,1,1,1,3,31,16,1,1,82,1,3,2,2,3,152,1,5,1,2,9,1,1,1,4,4,1,5,4,19,3,9,4,2,2,2,5,300,22,1,4,3,7,1,1,2,42,27,3,2,1,1,7,18,1,5,3,2,7,2,112,219,1,2,2,137,126,14,1,4,1,2,2,98,1,3,3,47,5,2,7,7,59,10,1,472,5,233,2,2,174,1,14,5,4,4,3,1,2,3,1,5,2,5,3,36,47,4,4,8,1,178,1,2,27,2,1,1,2,13,3,2,3,20,3,5,253,2,1,71,3,2,3,3,5,5,1,78,4,822,2,29,6,27,3
"5",4,6,78,183,1,1,3,1,2,4,102,1,3,1,154,1,28,5,6,4,1,2,374,2,1,1,3,53,24,117,191,1,2,5,2,2,108,7,3,3,1,338,16,22,8,3,4,11,3,3,237,9,2,4,7,2,12,4,3,1,269,4,4,3,2,426,94,3,3,4,1,72,37,3,4,579,4,4,3,2,3,3,2,183,4,40,3,1,90,1,36,1,2,29,22,3,56,3,4,3,3,2,2,7,1,3,46,58,4,5,9,18,1,3,1,3,5,2,1,501,3,7,2,194,21,3,484,24,4,2,5,9,427,4,1,4,2,504,8,3,1,339,97,1,1,1,3,424,4,8,5,1,2,4,1,106,4,355,8,1,2,3,2,3,13,6,2,8,3,9,1,2,3,25,102,2,13,2,3,2,1,1,3,2,3,5,1,6,944,2,2,3,4,2,186,1,1,3,9,1
"6",5,2,6,284,483,31,9,2,5,46,3,3,5,2,2,3,1,3,1,1,5,1,3,1,3,48,51,757,2,4,1,3,11,4,4,43,13,1,6,3,4,2,2,4,7,4,3,2,50,1,1,3,141,1,2,4,175,2,17,2,3,3,3,196,3,4,4,1,78,2,4,2,2,9,6,11,3,4,271,1,2,5,3,2,1,2,1,14,307,3,1,4,3,1,2,2,4,2,899,267,5,7,60,1,48,4,2,1,2,5,1,1,18,2,65,2,7,46,53,8,1,3,10,4,1,98,3,1,1,4,2,4,1,2,742,3,32,2,2,2,5,119,3,26,398,467,2,3,2,1,2,40,4,1,39,2,2,103,8,56,3,8,94,5,4,3,27,5,4,380,28,331,3,571,15,1,1,5,2,27,2,2,1,140,2,4,274,2,1,2,3,20,1,1,21,4,47,2,10,266
"7",3,3,1,2,67,2,2,3,15,1,1,757,2,3,1,4,3,4,2,10,3,10,2,94,2,2,301,109,1,1,5,2,3,3,102,38,2,2,2,15,3,1,1,1,1,1,17,92,2,5,7,1,136,2,4,229,2,3,259,41,1,1,2,2,2,2,1,5,5,1,8,4,1,3,1,2,6,5,4,5,1,3,10,1,3,1,4,2,1,9,11,2,1,3,3,1,1,4,2,2,6,1,1,2,3,9,5,2,3,3,3,3,3,1,74,1,1,3,5,1,83,1,3,2,3,2,1,4,3,3,3,2,123,3,3,2,1,3,1,4,2,1,2,3,4,3,4,2,1,2,3,164,3,3,2,5,3,1,1,2,1,2,1,2,1,4,49,2,24,2,3,114,231,1,1,35,31,1,21,9,6,54,24,20,1,3,18,1,2,1,4,2,2,3,1,65,4,1,2,2
"8",1,1,2,3,3,51,6,11,3,3,24,5,1,5,444,2,2,2,3,3,4,2,1,57,6,3,2,1,123,2,2,5,6,1,12,97,1,3,1,4,7,3,6,2,314,2,1,1,57,2,14,2,1,5,256,6,70,26,2,69,2,2,768,4,4,3,2,15,1,5,3,85,3,65,3,1,2,2,2,3,7,4,1,3,2,3,2,3,3,16,3,3,4,2,6,5,2,1,3,12,1,3,3,4,16,2,4,5,1,2,2,2,851,10,3,4,17,28,3,3,2,2,1,11,2,4,10,3,2,65,1,1,208,1,279,1,90,1,3,53,102,2,1,13,425,2,15,1,3,3,1,2,23,6,4,3,1,3,2,4,51,1,975,1,2,2,1,3,1,1,4,2,36,75,3,4,129,4,1,1,5,978,129,19,32,1,23,23,4,4,1,28,4,16,2,3,2,41,1,4
"9",2,4,79,1,2,40,1,24,1,2,2,2,24,4,49,25,9,1,24,2,1,751,153,4,4,9,1,2,80,3,273,9,1,2,1,1,3,4,4,1,2,4,25,3,2,645,2,3,1,55,3,4,3,3,1,1,1,1,1,3,43,25,1,1,121,1,3,2,2,3,153,1,11,1,2,5,1,1,1,4,4,1,7,4,18,4,15,8,2,2,2,6,317,54,1,4,3,5,1,1,2,23,38,3,2,1,1,10,50,1,6,4,2,12,2,158,229,1,2,2,89,190,19,1,4,1,2,2,120,1,4,3,71,7,2,9,13,77,7,1,607,10,325,2,2,114,1,34,4,4,4,4,1,2,3,1,10,2,6,3,26,73,5,4,9,1,375,1,3,24,2,1,1,2,7,3,2,3,26,2,7,233,3,1,107,2,2,3,11,6,5,1,87,4,801,2,23,15,67,3
"10",4,7,118,114,1,1,4,1,2,4,132,1,3,1,173,1,24,7,18,5,2,5,115,2,1,1,3,33,62,350,177,1,2,14,2,2,152,10,3,2,1,266,9,33,4,3,5,34,3,3,94,11,2,4,15,2,22,4,4,1,378,9,4,3,1,419,39,3,3,4,1,63,39,2,5,500,5,3,5,2,3,2,2,210,4,46,3,1,58,1,6,1,2,32,34,3,75,3,9,5,3,2,2,17,1,3,28,16,6,4,8,60,1,3,1,3,8,2,1,707,3,8,2,210,40,3,457,35,4,2,5,6,251,4,1,6,2,538,9,3,1,152,117,1,1,1,3,528,5,17,6,1,2,4,1,83,5,255,14,1,2,3,2,3,8,7,2,9,2,10,1,3,2,63,106,2,13,2,3,3,1,1,2,3,4,5,1,13,921,3,2,3,3,2,15,1,1,3,11,1
