"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",10,1,3,2,29,151,4,1,50,5,2,6,3,2,2,4,1,3,3,1,3,1,7,1,4,5,17,4,2,4,1,1,6,5,3,74,3,1,6,6,3,3,3,3,5,4,4,2,5,2,1,3,5,2,2,14,4,1,11,2,3,3,3,54,3,6,2,1,6,2,3,2,2,5,4,4,5,14,5,2,2,4,5,3,4,3,2,3,200,3,1,23,3,2,1,6,3,2,5,4,5,4,6,2,6,8,4,1,1,5,1,2,3,2,161,4,2,22,5,3,2,3,3,4,2,115,2,1,1,2,4,13,1,4,7,4,4,3,3,2,5,3,2,173,3,692,2,3,2,1,4,33,4,1,5,3,1,8,8,41,2,3,4,7,5,4,3,5,3,3,108,5,2,4,3,2,1,5,4,2,164,2,1,526,1,6,5,2,1,2,4,4,1,1,4,7,7,1,3,10
"2",2,3,1,4,98,2,3,5,7,3,1,44,2,4,1,3,2,4,2,2,5,3,2,4,1,1,4,3,1,1,2,2,4,4,4,28,1,3,2,5,6,1,1,1,1,1,5,4,3,3,2,2,4,1,4,4,1,372,9,1,1,2,1,2,1,1,1,8,2,1,4,4,1,1,1,2,3,51,3,4,1,5,4,2,1,2,4,4,1,380,15,2,1,1,2,1,1,3,1,2,2,1,1,1,2,3,3,2,3,4,2,1,4,1,4,1,1,39,4,1,12,1,2,3,1,3,1,3,3,3,1,1,3,2,3,1,1,2,1,4,2,1,3,3,4,4,3,2,1,2,1,4,3,3,2,10,2,1,1,3,1,2,1,1,1,3,4,1,5,2,3,4,5,1,2,4,4,1,3,4,3,7,4,441,3,3,4,1,2,1,1,2,2,2,1,4,2,2,2,4
"3",1,2,2,8,104,4,5,3,10,4,4,252,1,5,67,2,3,2,1,3,4,10,1,48,3,3,3,1,3,2,3,4,3,3,5,18,2,2,1,2,4,2,2,2,4,3,1,1,4,1,5,1,1,3,263,185,3,120,2,5,2,1,5,15,2,3,3,5,1,5,2,3,10,4,2,1,1,3,2,1,3,6,1,1,2,1,1,1,4,13,2,4,2,3,3,3,2,1,3,5,1,2,2,3,7,2,2,3,2,2,3,3,60,3,3,2,3,4,3,2,1,2,1,5,3,4,5,2,2,13,2,2,144,1,16,5,82,1,2,3,70,2,1,13,5,2,4,1,3,3,3,2,52,2,3,2,3,3,2,6,29,1,3,3,6,2,1,4,1,1,4,2,4,3,4,1,101,2,1,1,1,6,13,17,2,2,3,5,3,3,2,5,3,20,2,3,6,13,1,3
"4",3,5,4,1,2,3,1,4,2,1,3,2,5,3,3,7,4,1,4,4,2,6,31,2,5,53,1,2,8,3,15,6,1,2,1,1,5,4,3,3,2,5,8,4,2,5,2,3,1,7,4,4,3,5,1,1,2,2,1,4,4,5,2,1,29,2,4,2,3,3,5,1,3,2,3,9,2,2,1,5,4,1,2,6,5,4,7,204,2,2,4,5,9,21,4,2,4,4,2,1,4,5,4,4,3,1,1,143,4,1,30,4,2,11,1,9,163,1,1,4,5,24,9,1,7,2,3,4,5,1,5,3,4,3,2,2,3,5,12,1,92,6,21,2,2,3,1,498,13,5,2,14,1,5,4,1,11,9,40,2,4,4,2,2,2,1,5,2,2,58,1,1,1,2,1,5,2,4,5,5,5,4,3,1,9,1,2,3,332,5,6,1,31,3,134,1,4,12,13,2
"5",4,4,14,3,1,1,2,2,1,2,5,1,4,1,8,1,58,8,9,6,1,8,27,3,2,2,2,5,16,7,4,3,2,1,2,2,4,6,4,1,1,10,4,5,3,2,3,21,2,4,3,18,2,4,3,2,6,46,3,3,5,4,4,3,6,17,5,3,4,4,1,5,4,3,5,260,4,1,4,3,5,2,3,15,3,24,3,2,3,1,5,1,4,10,100,4,5,5,4,3,3,3,3,6,1,4,10,353,5,3,10,19,1,139,2,3,5,2,2,5,3,590,4,2,11,1,4,6,4,40,3,5,2,5,1,3,2,6,6,5,1,14,10,1,1,1,8,227,15,4,5,1,2,4,1,4,6,2,7,1,3,5,5,4,3,5,2,3,9,23,2,3,3,44,5,3,3,3,2,3,2,1,2,2,6,4,1,4,371,4,3,3,4,4,3,2,1,3,4,1
"6",14,1,3,3,46,143,4,1,142,5,2,9,3,2,2,4,1,3,3,1,3,1,5,1,6,5,19,4,3,4,1,1,6,4,3,105,3,1,6,9,4,3,2,3,4,4,4,2,4,2,1,3,10,2,2,18,27,2,17,2,4,4,3,89,3,23,2,1,6,1,3,2,2,4,4,5,6,27,5,2,2,5,4,4,4,2,2,3,284,4,1,71,4,2,1,17,4,2,6,4,4,4,5,2,10,18,4,1,1,4,1,2,3,2,187,3,2,73,5,3,2,3,3,4,2,77,3,1,1,2,5,26,1,4,5,5,4,3,3,2,3,3,2,159,3,433,2,3,2,1,4,36,4,1,5,3,1,14,23,41,2,5,4,8,5,4,3,5,3,3,139,10,3,4,2,3,1,5,4,2,175,2,1,397,1,16,5,2,1,2,4,4,1,1,7,7,10,1,3,22
"7",2,4,1,6,73,2,3,5,13,3,1,69,2,4,1,3,3,4,2,2,5,3,2,4,1,2,4,7,1,1,2,3,4,5,4,43,1,3,2,5,8,1,1,1,1,1,6,4,3,3,3,1,5,1,5,4,1,604,23,1,1,2,2,3,1,1,1,12,3,2,11,5,1,1,1,2,3,71,2,4,1,4,5,2,1,3,4,16,1,67,41,2,1,1,2,1,1,3,1,2,3,1,1,1,3,2,3,2,3,5,2,1,10,1,4,1,1,72,4,1,38,1,2,3,1,3,1,3,3,3,1,1,4,2,3,1,1,2,1,5,2,1,3,7,7,4,3,2,1,2,1,4,3,3,3,22,2,1,1,3,1,2,1,1,1,3,4,2,26,2,3,8,6,1,4,4,4,1,3,8,3,6,6,389,3,3,4,1,2,1,1,2,2,2,1,4,2,2,2,4
"8",1,2,2,5,177,4,5,3,29,4,4,268,1,5,50,2,2,2,1,3,4,11,1,90,4,3,3,1,2,2,3,4,3,3,5,40,2,2,1,3,3,2,3,2,5,3,1,1,5,1,8,2,1,3,505,145,4,180,2,7,2,1,6,13,2,2,4,6,1,6,2,3,8,6,2,1,2,3,3,1,4,7,1,1,3,1,1,1,4,14,8,4,2,3,4,4,2,1,3,6,1,3,3,3,8,3,2,3,2,2,3,3,45,3,3,4,3,4,3,2,1,2,1,12,3,5,5,2,2,52,2,2,185,1,38,4,47,1,2,3,160,2,1,29,4,2,6,1,3,3,3,2,102,2,2,2,3,4,2,12,30,1,5,3,6,2,1,4,1,1,5,2,4,3,6,1,209,4,1,1,1,7,10,5,2,2,3,5,3,3,2,5,3,44,2,3,6,18,1,2
"9",3,5,4,1,2,3,1,4,2,1,3,2,5,3,3,6,4,1,4,4,2,10,34,3,3,52,1,2,4,3,30,6,1,2,1,1,5,5,3,2,2,5,5,4,2,5,2,3,1,14,4,4,3,6,1,1,2,1,1,4,3,5,1,1,49,4,3,2,2,3,4,1,3,2,3,7,1,2,1,5,3,1,3,6,5,4,6,422,2,2,3,5,5,14,3,2,3,5,2,1,5,5,4,4,2,1,1,83,4,1,40,4,2,34,1,11,264,1,1,5,5,59,13,1,6,1,2,4,5,1,4,3,3,3,2,2,2,4,6,1,43,5,43,2,1,3,1,654,8,5,2,10,2,6,4,1,8,12,50,2,4,4,2,2,2,1,9,1,2,28,1,1,1,2,1,5,2,3,5,6,4,4,3,1,10,1,2,3,152,4,7,1,18,3,157,1,4,10,27,3
"10",5,3,8,2,1,1,2,2,1,2,6,1,4,1,11,1,29,32,9,7,1,16,47,2,2,1,2,3,24,8,4,2,2,1,2,2,4,8,4,1,1,14,4,9,3,2,3,17,2,4,2,12,2,4,3,2,5,9,3,3,5,3,4,2,9,20,5,3,4,4,1,4,4,3,5,228,4,1,4,3,5,2,2,15,2,49,3,2,3,1,5,1,3,8,76,3,5,4,4,3,2,2,2,6,1,4,8,594,5,3,4,10,1,60,2,2,6,2,2,4,3,460,4,2,7,2,4,6,4,9,3,9,2,5,1,3,3,5,4,4,1,4,29,1,2,1,7,258,12,4,6,1,1,4,1,4,4,2,4,1,3,3,3,4,3,5,2,3,16,29,2,3,2,26,3,2,3,2,2,3,2,1,2,2,9,4,1,4,436,5,3,3,5,4,3,2,1,3,4,1
