"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"11",8,2,3,8,204,142,7,2,165,42,2,62,45,4,1,26,2,30,1,1,2,11,13,1,34,40,12,102,36,11,1,2,105,46,4,569,351,1,21,19,15,1,3,45,37,84,5,2,279,1,1,3,124,2,4,26,3,2,96,33,4,486,2,186,17,27,4,2,273,3,17,15,3,106,2,9,12,24,54,81,2,16,14,23,3,3,1,2,31,12,1,4,24,1,1,3,5,3,441,707,24,223,706,2,164,349,6,1,3,51,2,1,196,2,470,4,24,193,351,10,2,3,821,18,2,370,42,1,1,10,2,2,1,1,462,2,219,2,1,1,361,53,2,141,486,88,4,16,1,1,1,39,12,1,36,4,36,106,5,73,4,2,620,6,242,13,60,4,11,7,7,482,5,399,340,1,2,69,19,3,14,10,1,34,1,11,770,2,1,19,6,246,2,2,236,10,5,2,13,7
"12",1,32,1,63,494,2,1,9,2,2,1,76,2,1,2,20,15,6,2,24,4,484,6,67,1,2,398,377,14,4,90,1,35,6,141,22,2,3,4,100,3,2,1,2,2,3,368,133,7,284,68,2,404,1,7,634,2,247,569,112,1,1,6,5,22,39,1,6,64,2,101,7,1,5,1,7,17,536,8,37,1,4,1,1,2,1,81,14,1,93,471,2,1,10,11,1,1,14,120,2,4,3,1,1,53,199,29,2,2,19,4,94,32,1,253,1,1,48,11,1,547,2,43,15,1,3,2,75,53,2,5,11,362,3,9,3,1,4,2,38,47,1,36,3,52,5,2,2,2,2,3,215,23,132,3,251,1,1,1,1,1,3,1,2,1,2,162,5,233,3,9,11,55,1,4,6,36,1,372,102,8,192,377,209,14,12,12,1,2,1,3,2,5,3,1,409,15,4,5,12
"13",9,1,2,114,113,8,2,268,30,6,27,111,1,3,424,2,1,2,30,110,16,252,1,7,4,3,3,1,76,1,14,140,253,14,27,74,1,4,3,11,14,3,55,53,363,2,1,1,155,2,69,1,1,17,6,94,42,148,11,98,2,16,124,70,9,32,3,3,2,9,52,267,56,198,3,1,4,7,2,3,8,19,6,20,4,2,2,51,10,61,40,20,8,65,16,15,8,1,2,3,44,37,5,17,21,3,81,421,1,11,1,3,102,69,6,22,16,696,38,75,3,1,3,160,3,242,39,41,2,921,4,5,684,2,150,1,3,1,4,334,363,2,1,94,252,2,107,1,3,107,17,32,70,6,99,74,44,588,10,37,8,1,327,4,52,55,1,2,1,2,4,28,131,20,97,5,19,27,1,2,20,356,384,8,3,1,73,26,14,11,4,51,1,93,322,419,2,404,1,305
"14",67,4,14,2,2,217,5,83,3,1,3,2,4,9,81,41,25,1,5,8,3,132,86,32,30,176,1,2,25,3,717,101,1,5,2,1,94,50,1,43,2,28,2,1,1,112,2,4,1,57,4,5,85,44,1,1,1,1,1,14,61,2,1,1,373,1,2,1,1,1,585,1,2,1,4,10,3,3,4,5,3,1,20,3,30,4,149,89,2,4,2,11,26,488,2,9,3,5,1,1,5,161,20,5,2,1,1,31,290,1,7,2,2,10,2,19,345,1,1,4,89,19,253,2,25,1,1,2,6,1,3,4,55,6,3,53,4,105,5,2,39,43,192,2,5,333,1,118,45,6,5,115,2,2,2,1,77,13,114,2,9,39,13,1,32,1,635,1,2,36,2,1,1,2,1,3,1,2,25,231,189,371,8,1,169,2,4,9,41,71,2,1,228,400,17,27,119,83,111,2
"15",10,5,113,227,1,1,14,1,1,24,5,1,36,2,99,1,7,3,24,4,1,41,250,2,2,1,2,213,458,54,884,3,9,7,7,2,83,19,2,1,1,134,7,3,38,1,9,608,4,3,21,14,2,3,86,2,239,23,115,1,427,284,123,2,18,200,202,5,5,4,1,52,53,2,5,136,8,1,30,2,18,2,18,16,1,448,3,1,435,1,65,1,2,5,93,88,4,30,194,38,1,2,2,71,1,2,328,264,4,43,90,45,1,3,1,12,28,2,2,58,1,104,1,68,6,2,9,49,4,4,1,48,43,115,1,4,2,133,3,57,1,670,6,1,1,1,113,300,5,291,2,1,1,4,1,367,2,272,4,3,2,9,90,32,23,200,3,3,4,4,1,3,71,238,112,2,3,3,4,6,1,1,5,45,76,23,1,22,676,75,1,11,22,1,438,3,1,1,98,1
"16",11,2,16,50.5,259,12,46,1,14,19,1,3,70,8,2,3,1,7,1,1,4,861,25,2,3,38,97,732.5,1,128,1,38,23,8,3,372,3,1,4,6,3,3,7,3,13,3,10,2,11,3,6,5,5,2,2,18,38,2,7,3,1,181,2,45,3,5,4,1,146.5,4,3,2,2,6,4,23,5,11,506.5,11,2,3,54,4,2,2,2,202.5,855,3,1,5,6,2,1,24,2,2,378.5,146,8,3,64,3,160,45,2,1,1,6,1,1,426,2,20,2,4,65,793,18,1,4,5,15,1,304,3,2,1,7,3,135,1,4,871,1,29,2,2,1,35,3,2,10,55,101,3,56,2,1,2,5,4,1,51,2,3,56,15,61.5,6,43,156,181,19,2,14,4,7,450,25,795,5,501,48,1,1,13,4,13,2,2,1,26,1,4,276,2,1,17,6,344,1,1,239,269.5,33,1,10,4
"17",1,10,1,6,100,2,80,25,3,2,2,158,2,3,1,4,3,1,3,5,3,5,2,132,2,2,480,117,4,1,24,2,8,4,8,40,2,2,3,322,4,1,1,1,1,1,60,51.5,3,720,11,26,87,1,4,16,3,6,195,7,15,1,4,2,16,1,1,3.5,4,2,4,6,1,3,1,2,4,393,2,6,1,1,22,1,1,1,8,4,3,15,78,2,1,4,5,1,1,10,2,2,2,1,1,1,39.5,3,10,2,6,18,3,15,8,1,311,1,1,4,5,1,373,1,2,7,2,1,1,13,13,13.5,4,2,6,2,15,4,2,3,1,3,3,1,3,2,32,3,2,1,1,2,1,82,3,112,6,241,5,1,1,2,1,2,1,9,1,3,194,2,19,2,5,9,53,1,3,4,47.5,1,35,14,27,87,7,44,2,8,67,1,2,1,2,2,3,7,1,46,7,3,3,2
"18",4,1,2,8.5,6,3,2,12,20,3,4,22.5,1,4,5,2,2,5,2,133,5,115,1,9,4,3,3,1,2,2,46,24,13,2,5,38,1,87,1,2,20,2,4,2,51,2,1,1,89,1,84,1,1,16,5,3,26,3,2,163,2,4,346,8,1,19,3,3.5,1,5,5,70,43,420,2,1,2,3,1,1,10,5,1,2,4,4,1,5,2,241.5,3,6,3,3,8,2,3,1,3,4,3,4,4,8,89,2,3,183.5,2,3,2,6,27,43,3,192.5,2,142,3,34,2,10,1,12,3,24,57.5,4,2,557,1,1,126,3,73.5,3,40,1,4,57,13,2,1,80,665.5,2,36,2,3,13,3,2,132,49,2,3,69,102,2,53,4,1,944,1,97,5,2,3,1,1,3,6,92,2,74,7,109,9,1,1,3,275,74,2,7,2,207,6,39,2,1,6,2,888,4,4,3,453,1,1
"19",6,45,7,3,2,18,1,13,1,1,3,1,21,2,40,14,4,2,115,2,2,21,39,12,13,83,2,2,38.5,27,10,57,2,1,1,1,5,5,2,24,2,78,9,7,2,219,6,3,1,205,2,2,3,21,1,1,1,1,1,4,28,33,1,1,620,3,2,2,2,1,199.5,1,3,1,3,49,1,2,14,2,3,2,34,52,6,3,88,35,1,2,2,7,170,220,3,3,4,9,1,1,6,110,21,4,2,1,1,48,470,1,27.5,2,2,3,2,12,612.5,2,1,2,45,379,16,1,4,3,2,1,4,1,2,62,71,1,1,151,3,8,19,2,165,89,14,3,1,8,1,49,31,19,7,3,1,38.5,4,1,16,2,7,3,60,19,46,2,3,1,173,1,2,222,1,1,1,3,19.5,2,2,6,85,8,274.5,831,2,1,746,1,2,5,32,20,4,1,361,4,3,15,59,126,232,108
"20",3,3,109.5,193.5,1,1,18,2,2,6,5,2,12,1,19,1,116,3,23,4,1,55,421.5,1,1,1,1,5,85,70.5,594,1,1,3,2,2,83,6,7,1,1,474,225,23,20,5,2,48,2,2,5,14,2,3,19,2,261,76,99,1,120,13,12,21,2,192,32,15,3,3,1,12,86,2,10,59,3,1,7,3,4,9,4,262,3,100,3,1,18,1,21,1,5,52,2,4,21,6,9,59,1,2,2,5,1,12,59,100,3,151,22,8,1,13,1,8,75.5,1,2,29,3,9,6,224,5,2,522,101,3,2,5,113,29,9,2,2,1,57,3,4,1,562,5,1,2,1,177,158,4,114.5,6,1,2,2,1,290.5,2,14,155,1,2,11,44.5,6,2,15,1,7,4,3,2,3,15,7,14,3,3,5,2,3,1,1,3,3,67,527,1,3,220,4,3,3,4,2,9,1,1,2,868,3
